id,address,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-075520-01033-ד,"שד גולדה מאיר 1033ד, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01034-X,"שד גולדה מאיר 1034, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-א,"שד גולדה מאיר 1034א, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ב,"שד גולדה מאיר 1034ב, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ג,"שד גולדה מאיר 1034ג, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ד,"שד גולדה מאיר 1034ד, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ה,"שד גולדה מאיר 1034ה, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ו,"שד גולדה מאיר 1034ו, דימונה",86058,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-04021-א,"שד גולדה מאיר 4021א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-04021-ב,"שד גולדה מאיר 4021ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-04021-ג,"שד גולדה מאיר 4021ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-04021-ה,"שד גולדה מאיר 4021ה, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075677-00006-X,"השבלים 6, דימונה",86031,exact,202842.00,552481.74,693721.49,3438400.35
001027-075677-00062-X,"השבלים 62, דימונה",86031,exact,202548.82,552487.81,693428.24,3438400.59
001027-075677-00325-X,"השבלים 325, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00327-X,"השבלים 327, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00329-X,"השבלים 329, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00331-X,"השבלים 331, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00333-X,"השבלים 333, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00335-X,"השבלים 335, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00337-X,"השבלים 337, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00339-X,"השבלים 339, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00341-X,"השבלים 341, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00343-X,"השבלים 343, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00345-X,"השבלים 345, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00347-X,"השבלים 347, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00349-X,"השבלים 349, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00353-X,"השבלים 353, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00355-X,"השבלים 355, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00357-X,"השבלים 357, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00359-X,"השבלים 359, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00363-X,"השבלים 363, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00367-X,"השבלים 367, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00371-X,"השבלים 371, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00373-X,"השבלים 373, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00377-X,"השבלים 377, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00379-X,"השבלים 379, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00387-X,"השבלים 387, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00389-X,"השבלים 389, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00391-X,"השבלים 391, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00393-X,"השבלים 393, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00397-X,"השבלים 397, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00399-X,"השבלים 399, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00401-X,"השבלים 401, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00403-X,"השבלים 403, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00407-X,"השבלים 407, דימונה",86027,street,202629.69,552490.53,693509.04,3438404.91
001027-075911-00002-X,"הרימון 2, דימונה",86028,exact,202651.60,552570.26,693529.36,3438485.07
001027-075911-00004-X,"הרימון 4, דימונה",86028,exact,202646.34,552564.82,693524.21,3438479.52
001027-075911-00006-X,"הרימון 6, דימונה",86028,exact,202626.16,552562.31,693504.08,3438476.62
001027-075911-00007-X,"הרימון 7, דימונה",86028,exact,202562.58,552536.46,693441.03,3438449.50
001027-075911-00008-X,"הרימון 8, דימונה",86028,exact,202617.32,552566.29,693495.17,3438480.42
001027-075911-00010-X,"הרימון 10, דימונה",86028,street,202510.01,552536.37,693388.46,3438448.38
001027-075911-00011-X,"הרימון 11, דימונה",86028,exact,202526.39,552527.99,693405.01,3438440.32
001027-075911-00013-X,"הרימון 13, דימונה",86028,exact,202507.40,552524.18,693386.10,3438436.13
001027-075911-00014-X,"הרימון 14, דימונה",86028,exact,202576.77,552566.23,693454.62,3438479.55
001027-075911-00015-X,"הרימון 15, דימונה",86028,exact,202491.35,552519.39,693370.15,3438431.02
001027-075911-00016-X,"הרימון 16, דימונה",86028,exact,202556.49,552562.79,693434.42,3438475.71
001027-075911-00019-X,"הרימון 19, דימונה",86028,exact,202441.11,552497.50,693320.35,3438408.14
001027-075911-00020-X,"הרימון 20, דימונה",86028,exact,202522.22,552554.62,693400.31,3438466.86
001027-075911-00021-X,"הרימון 21, דימונה",86028,exact,202421.13,552493.75,693300.45,3438404.00
001027-075911-00022-X,"הרימון 22, דימונה",86028,exact,202505.47,552548.15,693383.69,3438460.07
001027-075911-00023-X,"הרימון 23, דימונה",86028,exact,202401.25,552490.11,693280.64,3438399.97
