id,city,file_street,file_house_number,file_match_type,utm_x,utm_y,lat,lon,google_street,google_house_number,google_full_address,match_score
001027-074730-00563-X,דימונה,האשל,563,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00564-X,דימונה,האשל,564,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00566-X,דימונה,האשל,566,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00567-X,דימונה,האשל,567,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00568-X,דימונה,האשל,568,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00569-X,דימונה,האשל,569,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00570-X,דימונה,האשל,570,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-075069-00010-X,דימונה,ההדס,10,exact,693697.51,3438533.35,31.0646081,35.0301373,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00521-X,דימונה,ההדס,521,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00522-X,דימונה,ההדס,522,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00524-X,דימונה,ההדס,524,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00525-X,דימונה,ההדס,525,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00526-X,דימונה,ההדס,526,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00530-X,דימונה,ההדס,530,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075069-00531-X,דימונה,ההדס,531,street,693688.65,3438553.34,31.0647898,35.0300483,ההדס,12,"ההדס 12, דימונה, ישראל",not_exact
001027-075520-00000-X,דימונה,שד גולדה מאיר,,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-00149-X,דימונה,שד גולדה מאיר,149,exact,693771,3439796.8,31.075989,35.0311494,,,"גולדה מאיר/התפוצות, דימונה, ישראל",none
001027-075520-01001-X,דימונה,שד גולדה מאיר,1001,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01001-ב,דימונה,שד גולדה מאיר,1001,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
001027-075520-01002-א,דימונה,שד גולדה מאיר,1002,street,693813.16,3439647.35,31.0746344,35.0315624,שדרות גולדה מאיר,1,"שדרות גולדה מאיר 1, דימונה, ישראל",none
