id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y,source_file,status
001027-073567-02501-X,"הגיא 5, דימונה",דימונה,הגיא,5,,,exact,203746.65,553351.07,,,Both (File A & B),ok
001027-082646-00004-X,"התירוש 4, דימונה",דימונה,התירוש,4,,8610554,street,202265.62,552491.84,693145.00,3438398.99,File B (Preferred),resolved_preference
001027-073567-02503-X,"הפסגה 30, דימונה",דימונה,הפסגה,30,,,exact,203902.31,553481.92,,,Both (File A & B),ok
001027-083058-01049-א,"טיילת הספורט 1049, דימונה",דימונה,טיילת הספורט,1049,א,8617915,street,203110.71,553353.00,693972.85,3439276.81,File B (Preferred),resolved_preference
001027-083058-01049-ד,"טיילת הספורט 1049, דימונה",דימונה,טיילת הספורט,1049,ד,8617918,street,203110.71,553353.00,693972.85,3439276.81,File B (Preferred),resolved_preference
001027-073567-02505-X,"הר ארבל 31, דימונה",דימונה,הר ארבל,31,,,exact,203628.43,554980.19,,,File A,ok
001027-073567-02506-X,"חגי 25, דימונה",דימונה,חגי,25,,,exact,203406.97,554031.51,,,File A,ok
001027-073567-02507-X,"רזיאל דוד 22, דימונה",דימונה,רזיאל דוד,22,,,none,,,,,File A,ok
001027-073567-02508-X,"נבטים 2, דימונה",דימונה,נבטים,2,,,exact,203338.77,553490.35,,,Both (File A & B),ok
001027-073567-02509-X,"צפצפה 15, דימונה",דימונה,צפצפה,15,,,exact,203616.43,554391.66,,,File A,ok
001027-073567-02510-X,"דולב 27, דימונה",דימונה,דולב,27,,,none,,,,,File A,ok
001027-073567-02511-X,"משעול רוגל 19, דימונה",דימונה,משעול רוגל,19,,,exact,202679.53,553647.15,,,File A,ok
001027-083523-00007-X,"רחבת האיסיים 7, דימונה",דימונה,רחבת האיסיים,7,,8604735,exact,203687.78,552786.74,694561.09,3438722.09,File B,ok
001027-073567-02513-X,"בית שערים 17, דימונה",דימונה,בית שערים,17,,,exact,203294.61,551731.24,,,File A,ok
001027-073567-02514-X,"גמלא 62, דימונה",דימונה,גמלא,62,,,exact,203683.62,551710.02,,,File A,ok
001027-082584-00002-X,"השקד 2, דימונה",דימונה,השקד,2,,8610538,street,202668.81,552527.14,693547.42,3438442.30,File B (Preferred),resolved_preference
001027-073567-02516-X,"בבא סאלי 94, דימונה",דימונה,בבא סאלי,94,,,exact,203215.65,552216.38,,,Both (File A & B),ok
001027-073567-02517-X,"כליל החורש 3, דימונה",דימונה,כליל החורש,3,,,exact,203898.80,554056.45,,,File A,ok
001027-073567-02518-X,"הכלנית 8, דימונה",דימונה,הכלנית,8,,,exact,202856.64,552332.26,,,Both (File A & B),ok
001027-073567-02519-X,"שד הנשיא 89, דימונה",דימונה,שד הנשיא,89,,,exact,202982.26,552799.80,,,File A,ok
001027-073567-02520-X,"שיזף 75, דימונה",דימונה,שיזף,75,,,exact,203500.92,554462.09,,,File A,ok
001027-073567-02521-X,"יגור 37, דימונה",דימונה,יגור,37,,,none,,,,,File A,ok
001027-073567-02522-X,"הר מירון 1, דימונה",דימונה,הר מירון,1,,,exact,203573.02,555023.62,,,File A,ok
001027-073567-02523-X,"שבזי שלום 34, דימונה",דימונה,שבזי שלום,34,,,exact,204073.61,553400.48,,,File A,ok
001027-073567-02524-X,"משעול ארז 2, דימונה",דימונה,משעול ארז,2,,,exact,202644.71,553579.90,,,File A,ok
001027-073567-02525-X,"המעפיל 16, דימונה",דימונה,המעפיל,16,,,exact,203160.41,553408.10,,,Both (File A & B),ok
001027-073567-02526-X,"סיגלון 12, דימונה",דימונה,סיגלון,12,,,exact,204055.86,554499.65,,,File A,ok
001027-075677-00347-X,"השבלים 347, דימונה",דימונה,השבלים,347,,8602762,street,202629.69,552490.53,693509.04,3438404.91,File B (Preferred),resolved_preference
001027-073567-02528-X,"סחלבן החורש 6, דימונה",דימונה,סחלבן החורש,6,,,exact,203720.20,554002.70,,,File A,ok
001027-073567-02529-X,"בית שערים 10, דימונה",דימונה,בית שערים,10,,,exact,203170.30,551807.41,,,File A,ok
001027-083633-00037-X,"דרך השלום 37, דימונה",דימונה,דרך השלום,37,,8607137,street,203431.95,553580.41,694289.53,3439510.56,File B (Preferred),resolved_preference
001027-073567-02531-X,"קרני חיטין 19, דימונה",דימונה,קרני חיטין,19,,,exact,203842.75,551527.44,,,File A,ok
001027-073567-02532-X,"ההגנה 4, דימונה",דימונה,ההגנה,4,,,exact,202803.63,553569.75,,,File A,ok
001027-073567-02533-X,"רזיאל דוד 12, דימונה",דימונה,רזיאל דוד,12,,,none,,,,,File A,ok
001027-073567-02534-X,"אלה 2, דימונה",דימונה,אלה,2,,,exact,203589.98,554177.15,,,File A,ok
001027-073567-02535-X,"טופח 27, דימונה",דימונה,טופח,27,,,exact,203950.30,554502.56,,,File A,ok
001027-083571-00079-X,"שד בן גוריון 79, דימונה",דימונה,שד בן גוריון,79,,8607641,street,203242.08,553470.71,694101.87,3439397.11,File B (Preferred),resolved_preference
001027-080850-00504-א,"הרצל 504, דימונה",דימונה,הרצל,504,א,8602130,street,202895.25,552939.24,693765.65,3438858.83,File B (Preferred),resolved_preference
001027-080850-00504-ב,"הרצל 504, דימונה",דימונה,הרצל,504,ב,8602131,street,202895.25,552939.24,693765.65,3438858.83,File B (Preferred),resolved_preference
001027-080850-00504-ג,"הרצל 504, דימונה",דימונה,הרצל,504,ג,8602132,street,202895.25,552939.24,693765.65,3438858.83,File B (Preferred),resolved_preference
001027-080850-00504-ד,"הרצל 504, דימונה",דימונה,הרצל,504,ד,8602133,street,202895.25,552939.24,693765.65,3438858.83,File B (Preferred),resolved_preference
001027-073567-02538-X,"שושן צחור 10, דימונה",דימונה,שושן צחור,10,,,exact,203060.74,553766.76,,,File A,ok
001027-082759-00027-א,"הצבר 27, דימונה",דימונה,הצבר,27,א,8603311,street,203312.83,552404.85,694193.78,3438332.81,File B (Preferred),resolved_preference
