utm_x,utm_y,lat,lon,file_street,file_house,file_match_type
693594.49,3438636.35,31.0655539,35.0290778,רחבת האשלג,27,exact
693589.44,3438644.75,31.0656304,35.0290266,רחבת האשלג,29,exact
693856.5,3438657.15,31.0656982,35.0318265,הצאלה,1,exact
693847.38,3438655.19,31.065682,35.0317306,הצאלה,3,exact
693831.13,3438665.62,31.0657788,35.0315624,הצאלה,5,exact
693821.6,3438670.06,31.0658204,35.0314634,הצאלה,7,exact
693763.76,3438682.27,31.06594,35.0308598,הצאלה,11,exact
693756.83,3438687.7,31.0659901,35.0307883,הצאלה,13,exact
693744.82,3438687.99,31.0659947,35.0306625,הצאלה,15,exact
693735.21,3438693.73,31.0660481,35.030563,הצאלה,17,exact
693731.72,3438447.71,31.0638302,35.0304792,רחבת אורון,1,street
693728.7,3438434.75,31.0637138,35.0304451,רחבת אורון,4,exact
693732.5,3438474.59,31.0640724,35.0304926,רחבת אורון,5,exact
693742.82,3438432.69,31.0636929,35.0305926,רחבת אורון,6,exact
693752.17,3438464.89,31.0639817,35.0306968,רחבת אורון,7,exact
693767.42,3438472.97,31.0640521,35.0308581,רחבת אורון,9,exact
693772.16,3438433.76,31.0636977,35.0309002,רחבת אורון,10,exact
693796.01,3438471.35,31.0640327,35.0311572,רחבת אורון,11,exact
693790.99,3438441.01,31.06376,35.0310988,רחבת אורון,12,exact
693807.18,3438473.13,31.0640469,35.0312746,רחבת אורון,13,exact
693789.31,3438453.89,31.0638764,35.0310837,רחבת אורון,14,exact
694031.01,3438207.2,31.061612,35.0335682,קציעות,,street
694075.36,3438166.49,31.0612376,35.034025,קציעות,3,exact
694018.88,3438159.02,31.0611795,35.0334319,קציעות,7,exact
694055.44,3438217.66,31.0617023,35.0338262,קציעות,8,exact
693765.65,3438858.83,31.0675318,35.0309135,הרצל,,street
693827.67,3438901.34,31.0679049,35.0315713,הרצל,34,exact
694222.26,3438834.08,31.0672332,35.035692,הרצל,35,exact
693804.17,3438901.11,31.0679067,35.0313251,הרצל,36,exact
694208.84,3438835.25,31.067246,35.0355517,הרצל,37,exact
693750.14,3438895.7,31.0678669,35.0307581,הרצל,40,exact
694188.07,3438853.52,31.0674142,35.0353376,הרצל,41,exact
